image name,subject,feature,encoded label
subject05_surprised.jpg,subject05,surprised,4
subject01_sad.jpg,subject01,sad,0
subject14_happy.jpg,subject14,happy,13
subject07_noglasses.jpg,subject07,noglasses,6
subject12_sad.jpg,subject12,sad,11
subject13_rightlight.jpg,subject13,rightlight,12
subject10_glasses.jpg,subject10,glasses,9
subject15_sleepy.jpg,subject15,sleepy,14
subject03_happy.jpg,subject03,happy,2
subject15_happy.jpg,subject15,happy,14
subject10_surprised.jpg,subject10,surprised,9
subject08_rightlight.jpg,subject08,rightlight,7
subject04_surprised.jpg,subject04,surprised,3
subject10_noglasses.jpg,subject10,noglasses,9
subject10_sleepy.jpg,subject10,sleepy,9
subject04_sleepy.jpg,subject04,sleepy,3
subject13_leftlight.jpg,subject13,leftlight,12
subject10_sad.jpg,subject10,sad,9
subject11_glasses.jpg,subject11,glasses,10
subject07_surprised.jpg,subject07,surprised,6
subject10_centerlight.jpg,subject10,centerlight,9
subject15_noglasses.jpg,subject15,noglasses,14
subject05_happy.jpg,subject05,happy,4
subject06_rightlight.jpg,subject06,rightlight,5
subject02_happy.jpg,subject02,happy,1
subject06_centerlight.jpg,subject06,centerlight,5
subject04_happy.jpg,subject04,happy,3
subject10_wink.jpg,subject10,wink,9
subject14_normal.jpg,subject14,normal,13
subject15_glasses.jpg,subject15,glasses,14
subject15_normal.jpg,subject15,normal,14
subject06_leftlight.jpg,subject06,leftlight,5
subject09_leftlight.jpg,subject09,leftlight,8
subject07_centerlight.jpg,subject07,centerlight,6
subject03_wink.jpg,subject03,wink,2
subject14_centerlight.jpg,subject14,centerlight,13
subject03_sad.jpg,subject03,sad,2
subject08_surprised.jpg,subject08,surprised,7
subject13_sleepy.jpg,subject13,sleepy,12
subject01_wink.jpg,subject01,wink,0
subject13_surprised.jpg,subject13,surprised,12
subject11_centerlight.jpg,subject11,centerlight,10
subject08_leftlight.jpg,subject08,leftlight,7
subject05_glasses.jpg,subject05,glasses,4
subject08_sad.jpg,subject08,sad,7
subject12_glasses.jpg,subject12,glasses,11
subject14_wink.jpg,subject14,wink,13
subject06_noglasses.jpg,subject06,noglasses,5
subject04_normal.jpg,subject04,normal,3
subject01_surprised.jpg,subject01,surprised,0
subject04_glasses.jpg,subject04,glasses,3
subject06_sleepy.jpg,subject06,sleepy,5
subject02_normal.jpg,subject02,normal,1
subject11_noglasses.jpg,subject11,noglasses,10
subject15_wink.jpg,subject15,wink,14
subject14_surprised.jpg,subject14,surprised,13
subject12_normal.jpg,subject12,normal,11
subject12_wink.jpg,subject12,wink,11
subject01_rightlight.jpg,subject01,rightlight,0
subject15_surprised.jpg,subject15,surprised,14
subject08_glasses.jpg,subject08,glasses,7
subject11_sad.jpg,subject11,sad,10
subject09_glasses.jpg,subject09,glasses,8
subject12_rightlight.jpg,subject12,rightlight,11
subject02_wink.jpg,subject02,wink,1
subject09_normal.jpg,subject09,normal,8
subject14_glasses.jpg,subject14,glasses,13
subject07_glasses.jpg,subject07,glasses,6
subject14_sad.jpg,subject14,sad,13
subject01_sleepy.jpg,subject01,sleepy,0
subject11_leftlight.jpg,subject11,leftlight,10
subject10_happy.jpg,subject10,happy,9
subject07_happy.jpg,subject07,happy,6
subject12_happy.jpg,subject12,happy,11
subject07_normal.jpg,subject07,normal,6
subject08_noglasses.jpg,subject08,noglasses,7
subject08_sleepy.jpg,subject08,sleepy,7
subject09_sad.jpg,subject09,sad,8
subject07_sleepy.jpg,subject07,sleepy,6
subject01_noglasses.jpg,subject01,noglasses,0
subject13_glasses.jpg,subject13,glasses,12
subject02_rightlight.jpg,subject02,rightlight,1
subject11_rightlight.jpg,subject11,rightlight,10
subject04_noglasses.jpg,subject04,noglasses,3
subject03_centerlight.jpg,subject03,centerlight,2
subject03_surprised.jpg,subject03,surprised,2
subject07_wink.jpg,subject07,wink,6
subject15_sad.jpg,subject15,sad,14
subject12_surprised.jpg,subject12,surprised,11
subject03_noglasses.jpg,subject03,noglasses,2
subject06_surprised.jpg,subject06,surprised,5
subject02_leftlight.jpg,subject02,leftlight,1
subject05_leftlight.jpg,subject05,leftlight,4
subject06_normal.jpg,subject06,normal,5
subject13_sad.jpg,subject13,sad,12
subject07_sad.jpg,subject07,sad,6
subject12_noglasses.jpg,subject12,noglasses,11
subject14_rightlight.jpg,subject14,rightlight,13
subject03_sleepy.jpg,subject03,sleepy,2
subject13_centerlight.jpg,subject13,centerlight,12
subject13_happy.jpg,subject13,happy,12
subject14_sleepy.jpg,subject14,sleepy,13
subject04_rightlight.jpg,subject04,rightlight,3
subject09_surprised.jpg,subject09,surprised,8
subject04_wink.jpg,subject04,wink,3
subject06_wink.jpg,subject06,wink,5
subject09_centerlight.jpg,subject09,centerlight,8
subject09_sleepy.jpg,subject09,sleepy,8
subject15_leftlight.jpg,subject15,leftlight,14
subject05_wink.jpg,subject05,wink,4
subject10_leftlight.jpg,subject10,leftlight,9
subject03_rightlight.jpg,subject03,rightlight,2
subject06_sad.jpg,subject06,sad,5
subject08_normal.jpg,subject08,normal,7
subject03_glasses.jpg,subject03,glasses,2
subject11_sleepy.jpg,subject11,sleepy,10
subject05_rightlight.jpg,subject05,rightlight,4
subject15_centerlight.jpg,subject15,centerlight,14
subject01_glasses.jpg,subject01,glasses,0
subject12_sleepy.jpg,subject12,sleepy,11
subject11_wink.jpg,subject11,wink,10
subject12_leftlight.jpg,subject12,leftlight,11
subject08_centerlight.jpg,subject08,centerlight,7
subject11_normal.jpg,subject11,normal,10
subject07_leftlight.jpg,subject07,leftlight,6
subject10_normal.jpg,subject10,normal,9
subject02_sleepy.jpg,subject02,sleepy,1
subject11_happy.jpg,subject11,happy,10
subject03_leftlight.jpg,subject03,leftlight,2
subject11_surprised.jpg,subject11,surprised,10
subject06_glasses.jpg,subject06,glasses,5
